[14:29:56.878|Tx] $BRK
[14:29:56.879|Rx] C00
[14:29:57.988|Tx] 02 61 00 ee 0d 00 06 0a 00 00 c2 01 00 08 01 00 02 00 00 fd 3b 1b 03 
[14:29:58.029|Rx] 02 e2 00 02 e1 00 ee 01 00 00 80 1b 12 1b 03 
[14:29:58.029|Tx] 02 62 00 
[14:29:59.676|Tx] $BDR01
[14:29:59.677|Rx] C00
[14:30:01.204|Tx] 02 61 01 05 01 00 2f f8 5e 1b 03 
Product Name:		CBM
Mobi5 Serial Number:	1009C742778
MSO OEM Serial Number:	1014N004016
MSO OEM Product ID:	251606824
Total flash size :		1048576 o	1024 Ko
ProductId:	00000000-0
SerialNumber:	0000MSO Version: 09.00.c-C
[14:30:01.256|Tx] 02 62 01 
[14:30:08.550|Tx] 02 61 02 32 01 00 00 b1 f6 1b 03 
[14:30:08.583|Rx] 02 e2 02 02 e1 02 32 01 00 00 b1 f6 1b 03 
[14:30:08.583|Tx] 02 62 02 
[14:30:10.490|Tx] 02 61 03 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 30 31 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 29 24 1b 03 
[14:30:10.512|Rx] 02 e2 03 02 e1 03 35 06 00 00 00 00 00 00 00 05 03 1b 03 
[14:30:10.512|Tx] 02 62 03 
